"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
16,250,"VNM","Vietnam",16,"B<U+1EAF>c Ninh","T<U+1EC9>nh","Province",NA,"Bac Ninh"
17,250,"VNM","Vietnam",17,"B<U+1EBF>n Tre","T<U+1EC9>nh","Province",NA,"Ben Tre"
18,250,"VNM","Vietnam",18,"Cà Mau","T<U+1EC9>nh","Province",NA,"Ca Mau"
19,250,"VNM","Vietnam",19,"Cao B<U+1EB1>ng","T<U+1EC9>nh","Province",NA,"Cao Bang"
20,250,"VNM","Vietnam",20,"C<U+1EA7>n Tho","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho",NA,"Can Tho"
21,250,"VNM","Vietnam",21,"Gia Lai","T<U+1EC9>nh","Province",NA,"Gia Lai"
22,250,"VNM","Vietnam",22,"Hà Giang","T<U+1EC9>nh","Province",NA,"Ha Giang"
23,250,"VNM","Vietnam",23,"Hà N<U+1ED9>i","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho",NA,"Ha Noi City|Hanoi"
24,250,"VNM","Vietnam",24,"Hà Nam","T<U+1EC9>nh","Province",NA,"Ha Nam"
25,250,"VNM","Vietnam",25,"Hà Tinh","T<U+1EC9>nh","Province",NA,"Ha Tinh"
26,250,"VNM","Vietnam",26,"H<U+1ED3> Chí Minh city","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho",NA,"Ho Chi Minh City|Ho Chi Minh"
27,250,"VNM","Vietnam",27,"Hòa Bình","T<U+1EC9>nh","Province",NA,"Hoa Binh"
28,250,"VNM","Vietnam",28,"Hung Yên","T<U+1EC9>nh","Province",NA,"Hung Yen"
29,250,"VNM","Vietnam",29,"H<U+1EA3>i Duong","T<U+1EC9>nh","Province",NA,"Hai Duong"
30,250,"VNM","Vietnam",30,"H<U+1EA3>i Phòng","Thành ph<U+1ED1> tr<U+1EF1>c thu<U+1ED9>c t<U+1EC9>nh","City|Municipality|Thanh Pho",NA,"Hai Phong City|Haiphong"
31,250,"VNM","Vietnam",31,"H<U+1EAD>u Giang","T<U+1EC9>nh","Province",NA,"Hau Giang"
32,250,"VNM","Vietnam",32,"Khánh Hòa","T<U+1EC9>nh","Province",NA,"Khanh Hoa"
33,250,"VNM","Vietnam",33,"Kiên Giang","T<U+1EC9>nh","Province",NA,"Kien Giang"
34,250,"VNM","Vietnam",34,"Kon Tum","T<U+1EC9>nh","Province",NA,"Kon Tum"
35,250,"VNM","Vietnam",35,"Lào Cai","T<U+1EC9>nh","Province",NA,"Lao Cai"
36,250,"VNM","Vietnam",36,"Lâm Ð<U+1ED3>ng","T<U+1EC9>nh","Province",NA,"Lam Dong"
37,250,"VNM","Vietnam",37,"Lai Châu","T<U+1EC9>nh","Province",NA,"Lai Chau"
38,250,"VNM","Vietnam",38,"L<U+1EA1>ng Son","T<U+1EC9>nh","Province",NA,"Lang Son"
39,250,"VNM","Vietnam",39,"Long An","T<U+1EC9>nh","Province",NA,"Long An"
40,250,"VNM","Vietnam",40,"Nam Ð<U+1ECB>nh","T<U+1EC9>nh","Province",NA,"Nam Dinh"
41,250,"VNM","Vietnam",41,"Ngh<U+1EC7> An","T<U+1EC9>nh","Province",NA,"Nghe An"
42,250,"VNM","Vietnam",42,"Ninh Bình","T<U+1EC9>nh","Province",NA,"Ninh Binh"
43,250,"VNM","Vietnam",43,"Ninh Thu<U+1EAD>n","T<U+1EC9>nh","Province",NA,"Ninh Thuan"
44,250,"VNM","Vietnam",44,"Phú Th<U+1ECD>","T<U+1EC9>nh","Province",NA,"Phu Tho"
45,250,"VNM","Vietnam",45,"Phú Yên","T<U+1EC9>nh","Province",NA,"Phu Yen"
46,250,"VNM","Vietnam",46,"Qu<U+1EA3>ng Bình","T<U+1EC9>nh","Province",NA,"Quang Binh"
47,250,"VNM","Vietnam",47,"Qu<U+1EA3>ng Nam","T<U+1EC9>nh","Province",NA,"Quang Nam"
48,250,"VNM","Vietnam",48,"Qu<U+1EA3>ng Ngãi","T<U+1EC9>nh","Province",NA,"Quang Ngai"
49,250,"VNM","Vietnam",49,"Qu<U+1EA3>ng Ninh","T<U+1EC9>nh","Province",NA,"Quang Ninh"
50,250,"VNM","Vietnam",50,"Qu<U+1EA3>ng Tr<U+1ECB>","T<U+1EC9>nh","Province",NA,"Quang Tri"
51,250,"VNM","Vietnam",51,"Sóc Trang","T<U+1EC9>nh","Province",NA,"Soc Trang"
52,250,"VNM","Vietnam",52,"Son La","T<U+1EC9>nh","Province",NA,"Son La"
53,250,"VNM","Vietnam",53,"Tây Ninh","T<U+1EC9>nh","Province",NA,"Tay Ninh"
54,250,"VNM","Vietnam",54,"Thái Bình","T<U+1EC9>nh","Province",NA,"Thai Binh"
55,250,"VNM","Vietnam",55,"Thái Nguyên","T<U+1EC9>nh","Province",NA,"Thai Nguyen"
56,250,"VNM","Vietnam",56,"Th<U+1EEB>a Thiên - Hu<U+1EBF>","T<U+1EC9>nh","Province",NA,"Thua Thien - Hue"
57,250,"VNM","Vietnam",57,"Thanh Hóa","T<U+1EC9>nh","Province",NA,"Thanh Hoa"
58,250,"VNM","Vietnam",58,"Ti<U+1EC1>n Giang","T<U+1EC9>nh","Province",NA,"Tien Giang"
59,250,"VNM","Vietnam",59,"Trà Vinh","T<U+1EC9>nh","Province",NA,"Tra Vinh"
60,250,"VNM","Vietnam",60,"Tuyên Quang","T<U+1EC9>nh","Province",NA,"Tuyen Quang"
61,250,"VNM","Vietnam",61,"Vinh Long","T<U+1EC9>nh","Province",NA,"Vinh Long"
62,250,"VNM","Vietnam",62,"Vinh Phúc","T<U+1EC9>nh","Province",NA,"Vinh Phuc"
63,250,"VNM","Vietnam",63,"Yên Bái","T<U+1EC9>nh","Province",NA,"Yen Bai"
